att_current,att_avg_4w,att_total_drop,att_slope,ia_latest,ia_avg,has_ia_data,backlog_current,backlog_growing,fee_outstanding,weeks_tracked,Family_Income,HighSchool_Grade,Home_Location,Dropout
74.23,79.1,11.12,-2.347,24.47,28.49,1,1,0,1,5,30000,43.2,Rural,1
73.63,72.71,-3.96,1.242,31.43,30.05,1,0,0,0,4,18000,53.7,Rural,0
65.68,64.02,-23.54,1.8,28.27,24.24,1,0,0,1,16,10000,87.0,Urban,0
57.04,58.99,5.79,-1.029,17.1,18.8,1,2,1,1,6,18000,76.8,Urban,1
79.66,79.46,3.83,-1.332,12.67,11.24,1,0,0,0,6,50000,96.1,Rural,0
25.78,32.25,57.3,-3.851,20.0,18.67,1,0,0,1,15,18000,77.8,Urban,1
71.09,76.59,23.03,-4.274,25.98,28.73,1,0,0,1,7,10000,52.9,Urban,1
75.77,73.09,-14.51,1.161,24.38,19.88,1,0,0,0,12,30000,55.6,Semi-Urban,0
69.53,66.44,-17.26,1.867,26.8,22.44,1,0,0,1,12,30000,86.1,Semi-Urban,0
20.0,20.0,28.14,-2.006,33.8,28.8,1,0,0,1,16,10000,64.9,Semi-Urban,1
73.71,70.93,-5.55,5.551,0.0,0.0,0,2,0,0,2,18000,93.1,Urban,0
39.9,51.48,33.21,-3.315,28.41,26.45,1,1,0,1,9,75000,41.7,Rural,1
98.9,96.72,-12.03,1.278,32.13,38.16,1,0,0,1,10,18000,48.8,Rural,0
76.61,74.38,-17.07,2.817,30.25,28.01,1,0,0,1,7,10000,44.4,Urban,0
56.64,52.78,-8.67,2.638,40.0,40.0,1,1,0,0,4,18000,62.5,Urban,0
43.0,37.67,-11.33,4.284,28.11,23.61,1,1,0,1,4,5000,80.7,Urban,1
44.52,44.63,-5.09,0.63,27.36,28.82,1,0,0,1,8,50000,93.0,Rural,0
24.12,26.61,24.84,-1.958,14.35,15.21,1,0,0,1,16,30000,64.9,Rural,1
58.91,56.08,4.06,-1.542,15.07,15.64,1,2,0,0,6,5000,94.1,Urban,1
46.64,42.68,-4.34,1.0,29.73,29.26,1,1,0,0,4,75000,81.1,Urban,0
67.84,67.25,-11.47,1.108,33.0,37.4,1,3,0,1,13,18000,45.9,Semi-Urban,0
73.63,71.15,-15.39,2.706,29.61,27.36,1,0,0,0,8,30000,40.0,Rural,0
93.25,88.94,-8.62,8.624,0.0,0.0,0,2,0,1,2,30000,45.4,Semi-Urban,0
88.71,87.5,5.73,-0.878,21.65,23.01,1,0,0,0,6,30000,62.2,Semi-Urban,0
59.19,61.39,35.19,-3.288,20.74,21.69,1,0,0,0,13,50000,43.4,Urban,1
47.92,50.99,22.84,-1.355,18.69,18.86,1,0,0,1,15,10000,95.2,Rural,1
30.49,36.1,15.53,-2.892,23.26,21.46,1,2,0,0,6,10000,87.7,Urban,1
34.43,34.93,0.37,-0.675,28.03,29.96,1,2,0,0,4,30000,61.2,Semi-Urban,0
37.12,41.57,8.09,-4.043,5.81,13.76,1,0,0,0,3,5000,85.8,Rural,1
28.03,32.9,15.35,-3.285,21.85,19.96,1,1,0,0,5,10000,79.9,Rural,1
72.37,76.06,2.92,-0.287,20.26,22.48,1,0,0,0,6,75000,94.1,Rural,0
100.0,98.37,-17.79,2.199,33.7,33.89,1,1,0,1,9,10000,62.3,Rural,0
59.7,55.99,-5.73,2.865,28.24,23.34,1,0,0,0,3,50000,81.6,Urban,0
61.89,58.15,-9.87,1.328,25.52,26.44,1,0,0,1,11,5000,86.6,Rural,0
46.54,51.89,9.76,-2.731,26.65,23.8,1,0,0,0,4,30000,54.6,Rural,0
100.0,99.99,-9.36,0.649,37.54,35.62,1,1,0,1,16,30000,53.9,Semi-Urban,0
50.97,51.53,8.16,-2.008,19.62,19.17,1,2,0,1,6,18000,69.7,Urban,1
94.68,93.2,-11.06,0.786,23.39,29.2,1,0,0,0,15,5000,46.6,Rural,0
85.09,81.47,-8.04,4.02,32.95,28.92,1,2,0,1,3,30000,44.7,Rural,0
83.94,77.0,-13.32,2.93,26.19,23.0,1,4,0,0,5,18000,68.6,Semi-Urban,0
47.8,45.14,-3.03,1.0,16.66,16.19,1,0,0,0,4,30000,56.8,Urban,0
31.54,33.72,5.8,-2.9,26.02,31.7,1,0,0,0,3,18000,55.5,Urban,1
46.96,46.81,-10.79,1.246,28.11,26.8,1,0,0,1,9,30000,73.5,Rural,0
51.34,48.79,-4.86,1.059,25.64,29.65,1,1,0,0,7,50000,73.2,Urban,0
73.9,72.48,-3.41,1.707,32.53,34.15,1,0,0,0,3,10000,42.4,Semi-Urban,0
100.0,98.63,-11.45,1.74,34.19,32.36,1,2,0,0,8,50000,61.7,Semi-Urban,0
83.11,79.9,-11.45,2.57,29.13,28.06,1,3,0,0,6,10000,43.6,Rural,0
100.0,100.0,-20.13,1.386,24.03,20.91,1,1,0,0,16,5000,70.6,Urban,0
38.62,38.44,33.32,-4.222,27.34,29.24,1,0,0,1,10,10000,96.8,Rural,1
45.12,45.31,22.19,-1.996,12.04,12.19,1,4,0,0,15,30000,56.1,Urban,1
100.0,100.0,-10.7,0.664,20.73,24.85,1,0,0,1,14,10000,63.1,Rural,0
72.2,65.33,-16.97,3.287,29.01,28.35,1,0,0,1,6,50000,84.4,Rural,0
51.27,59.84,46.61,-2.668,16.84,21.15,1,1,1,0,16,18000,94.1,Rural,1
59.64,56.02,-9.85,1.35,22.58,25.87,1,0,0,1,8,30000,87.6,Semi-Urban,0
20.0,20.0,10.55,-0.902,29.86,20.34,1,0,0,0,15,18000,91.2,Rural,0
45.86,47.33,10.05,-1.142,19.05,13.01,1,0,0,0,11,30000,45.1,Semi-Urban,0
