Family_Income,Scholarship,Education_Loan,Father_Occupation,Mother_Occupation,Parent_Education,Home_Location,HighSchool_Grade,Admission_Quota,Dropout,Batch
45000,Yes,Yes,Daily Wage Worker,Farmer,HighSchool,Urban,88.9,Merit,0,2023
18000,Yes,Yes,Government Job,Daily Wage Worker,Primary School,Semi-Urban,83.3,Merit,0,2022
60000,No,No,Factory Worker,Teacher,Primary School,Semi-Urban,91.1,Merit,0,2024
35000,No,No,Engineer,Daily Wage Worker,No Formal Education,Rural,95.9,Merit,0,2021
5000,No,No,Farmer,Government Job,Postgraduate,Semi-Urban,73.3,Merit,1,2023
100000,No,No,Shopkeeper,Teacher,Graduate,Semi-Urban,84.0,Merit,0,2023
45000,No,Yes,Farmer,Farmer,HighSchool,Semi-Urban,68.9,SC/ST,1,2022
45000,Yes,No,Daily Wage Worker,Farmer,Graduate,Rural,86.4,Merit,1,2024
8000,No,Yes,Government Job,Factory Worker,Graduate,Urban,71.7,Merit,0,2021
18000,No,No,Farmer,Government Job,HighSchool,Rural,83.4,Merit,1,2023
18000,Yes,No,Doctor,Shopkeeper,HighSchool,Urban,56.2,Merit,0,2022
75000,No,Yes,Engineer,Farmer,Diploma,Urban,80.5,Sports,0,2024
35000,No,No,Shopkeeper,Nurse,Graduate,Rural,74.1,SC/ST,1,2021
60000,No,No,Farmer,Factory Worker,Primary School,Semi-Urban,54.7,Merit,1,2021
18000,Yes,No,Small Business,Factory Worker,Postgraduate,Semi-Urban,80.5,Management,0,2023
12000,No,No,Teacher,Homemaker,Graduate,Urban,61.8,Merit,0,2022
25000,Yes,No,Teacher,Daily Wage Worker,Diploma,Urban,77.1,SC/ST,0,2024
5000,Yes,No,Government Job,Nurse,Primary School,Semi-Urban,78.8,Merit,0,2022
60000,No,Yes,Shopkeeper,Homemaker,Diploma,Urban,79.6,Merit,0,2022
35000,Yes,Yes,Driver,Homemaker,HighSchool,Rural,80.3,NRI,0,2022
45000,No,Yes,Teacher,Daily Wage Worker,HighSchool,Rural,64.6,SC/ST,1,2023
18000,No,Yes,Factory Worker,Homemaker,Postgraduate,Semi-Urban,76.9,Merit,0,2022
100000,No,No,Doctor,Nurse,Diploma,Urban,93.5,Management,0,2021
60000,Yes,No,Engineer,Teacher,Primary School,Rural,44.0,Merit,0,2023
45000,No,Yes,Doctor,Factory Worker,HighSchool,Urban,86.2,Merit,0,2022
